Country,Country-Code,ISO-Code,FAOCou-Code,ContinentOld,Income,Domain,ContinentNew,MagnetCou-Code,MagnetRegion,Carbon region,ContinentValidation
Algeria,a0,DZA,4,Africa,UM,Trp,Africa,xnf,MENA,Northern Africa,Africa
Angola,a1,AGO,7,Africa,UM,Trp,Africa,xac,SSA,Western and Central Africa,Africa
Benin,a2,BEN,53,Africa,L,Trp,Africa,ben,SSA,Western and Central Africa,Africa
Botswana,a3,BWA,20,Africa,UM,Trp,Africa,BWA,SSA,Western and Central Africa,Africa
Burkina Faso,a4,BFA,233,Africa,L,Trp,Africa,bfa,SSA,Western and Central Africa,Africa
Burundi,a5,BDI,29,Africa,L,Trp,Africa,xec,SSA,Western and Central Africa,Africa
Cameroon,a6,CMR,32,Africa,LM,Trp,Africa,CMR,SSA,Western and Central Africa,Africa
Cape Verde,a7,CPV,35,Africa,LM,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Central African Republic,a8,CAF,37,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Chad,a9,TCD,39,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
"Congo, Republic of",b0,COG,46,Africa,LM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Côte d'Ivoire,b1,CIV,107,Africa,LM,Trp,Africa,civ,SSA,Western and Central Africa,Africa
Djibouti,b2,DJI,72,Africa,LM,Trp,Africa,xec,SSA,Eastern and Southern Africa,Africa
Egypt,b3,EGY,59,Africa,LM,Trp,Africa,EGY,MENA,Northern Africa,Africa
Equatorial Guinea,b4,GNQ,61,Africa,H,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Ethiopia,b5,ETH,238,Africa,L,Trp,Africa,ETH,SSA,Eastern and Southern Africa,Africa
